Année,PIB_Réel_Par_Habitant_USD_PPA_internationnal_constant_2011,V_A_Manufacturière_%_du_PIB,Croissance_démographique_%_annuelle,Crédit_Bancaire_au_secteur_privé_%_du_PIB,Dépenses_Publiques_%_du_PIB,Investissement_Direct_Etranger_entrée_nette_%_du_PIB,TCER_2010=100,Indice_des_Prix_à _la _consommation
1990,4418.66015625,19.283597591207126,1.80543997877046,13.70634,15.697549348497875,0.5471279828801305,98.3705721710775,56.90443060890754
1991,4656.1259765625,18.350084003306023,1.72232725594236,17.25389,15.573819597605418,0.9832941014521266,99.36739476601308,61.44891290318807
1992,4483.24951171875,18.86594312395901,1.65347397517767,19.65812,16.46483368608157,1.2532099088860333,99.87122370978118,64.97623205447837
1993,4379.76416015625,19.06004046899043,1.58233207878875,21.18158,17.9402510908716,1.5525468669935187,102.6635504171785,68.34402420897618
1994,4771.0927734375,18.076201238446625,1.49661980506301,21.48781,17.352914347319178,1.5473605424266008,105.9346334135335,71.85804944386668
1995,4444.228515625,18.875005309146562,1.52142282241445,24.53418,18.034888381499652,0.8577141285870795,109.3758051893566,76.25833577204617
1996,4916.47998046875,18.290985324814287,1.53619606424248,24.0689,15.797244496597019,0.8280370457795851,109.7178493159706,78.5360267817991
1997,4766.1103515625,19.059177335795184,1.5002842238488,40.54118,17.018646262748394,2.757090064848135,109.3452729316173,79.3513869876248
1998,5033.92333984375,17.99383918904895,1.48926290977857,41.7415,14.304671604045552,0.6639312706520342,112.2589816443538,81.53602058258181
1999,5043.6650390625,18.497125706710467,1.45749048336448,44.96358,15.401886989642962,1.7874170345466047,112.2563956789053,82.09436507135383
2000,5100.11572265625,18.07636572820666,1.40392630100829,48.33552,15.901644114606592,0.9915818587501689,114.853021814887,83.64975329007588
2001,5417.57861328125,16.584528540960573,1.36697144784375,46.64138,16.10308184696558,6.444129283654541,110.2082040923282,84.1682160296499
2002,5544.07177734375,16.49749428566573,1.32213816814169,46.17672,15.826524873749491,1.0203575781139282,109.7107567202792,86.52123923233209
2003,5810.05322265625,16.838450249808606,1.27031081599857,46.57318,15.632291612951764,3.9856198475430586,108.8861707284668,87.53157687868146
2004,5996.39013671875,16.759701363806716,1.28219021585352,46.9813,16.147933012370956,1.351186477178042,106.986264469927,88.83881199128272
2005,6103.42236328125,15.599810629640018,1.34347301576107,50.90353,16.793477965490187,2.4263546764783697,104.0463073558361,89.71177916817231
2006,6488.673828125,15.396931391717311,1.35136550551358,54.36968,16.138694457556827,3.2428349773945557,104.5333750113368,92.65859730335809
2007,6620.59033203125,14.943691959776661,1.34058101398506,65.42044,15.921803089509929,3.249993323154289,103.6101449483205,94.5507647375298
2008,6901.95068359375,15.146987352598659,1.33869604527126,72.52409,15.233147315684493,2.4221350885278525,103.3493863389072,98.06317731150565
2009,7063.72705078125,14.876832811881597,1.33260098178586,75.99157,16.750845719461086,1.9478274433084795,104.8178153799162,99.01621704711401
2010,7210.63671875,14.817192025369911,1.35274286216317,90.00591,16.5869372261684,1.2299824583834975,100.0,100.0
2011,7503.79296875,14.665640199551905,1.36305168989377,94.13653,17.22104006028117,2.2904684049663904,97.50054833971959,100.9069249096918
2012,7628.64404296875,14.36152700326864,1.3359712863904,95.41387,18.227959119015196,2.6575871264150654,95.38232820503517,102.205720544155
2013,7839.0322265625,14.558154871972913,1.28781015302784,90.44139,18.328575020397267,2.9038626404404004,97.01107816801643,104.1278571977558
2014,7951.79833984375,15.345287951318781,1.22723874148544,90.2913,19.105121153842315,2.9592543548448864,97.07999657898183,104.588425178695
2015,8198.80859375,14.984152955286012,1.17075639938741,85.45837,18.156437276404553,2.9461110839015405,96.83718446375225,106.2178156944124
2016,8141.9404296875,14.759529138249155,1.19450726277516,86.55656,18.361725713251737,1.9300054025105589,98.97734087972908,107.9548074706018
2017,8450.0087890625,14.594197032801082,1.20034336418867,86.57749,17.981973983697376,2.260921961205382,98.64920612225782,108.7695027284605
2018,8611.75,14.870356255704936,1.1036421008163,85.05864,17.995761510060348,2.7833793684016364,99.426755323409,110.7316139651065
2019,8768.17578125,14.763323536338676,1.03022315933698,87.52639,18.178936569030096,1.3347978956741524,100.2118222051739,111.0675582199678
2020,8054.56298828125,15.177396164956003,1.02565486360782,96.1517,19.40498595633579,1.169073345875584,101.5748768855733,111.8516603739144
2021,8623.265625,15.235675795084145,1.00691847923959,66.60682,18.97383834562023,1.5942232144536594,103.1715588270918,113.4197746137883
2022,8690.4482421875,16.04984931074382,1.00863622672701,63.765,18.940578415779367,1.7481432366207577,99.91516359705334,120.9701766774268
2023,8915.3515625,15.791853154863311,1.02195181223548,57.737,18.15054167457897,0.7258641226726827,100.7487023324131,128.3386413419415
2024,9162.7470703125,15.265415371627864,0.972827595296714,54.839,17.951915050047003,1.0204778987189884,101.0726377820242,129.603106265852
