p,q,aic,bic,r2_adj,n_params,n_obs
3,3,-204.09348157481986,-163.0528762964275,0.9975361372063722,28,32
3,2,-172.01685653040093,-139.77066666880694,0.9960927485983123,22,32
3,1,-164.5884176831357,-141.13664323834007,0.9955184487609416,16,32
2,2,-161.20654220182985,-129.77988341103378,0.9942263400909755,21,33
1,3,-160.5437819954819,-122.43464852268902,0.9927413536124122,26,32
3,0,-158.9696679423228,-144.3123089143255,0.9943474801126417,10,32
2,3,-158.90185270305895,-119.32698332746634,0.9913865476261465,27,32
1,2,-158.8901367916464,-128.95998556231677,0.9939257189571564,20,33
2,0,-157.64583860326087,-144.17727055006256,0.9933452436816209,9,33
2,1,-156.22150789528757,-133.77389447329037,0.9935599321210158,15,33
1,1,-148.27241759563043,-126.90337025100416,0.9908137290903565,14,34
1,0,-138.26097620833553,-126.05009201140624,0.9864993052443654,8,34
